CompanyName,Symbol,Sector,Keyword,Index
Alkyl Amines Chem. Limited,ALKYLAMINE,NS,"alkyl amines chem., alkyl amines chem. limited, Alkyl Amines Chemicals, ALKYLAMINE",NIFTY 500
Allcargo Logistics Limited,ALLCARGO,NS,"ALLCARGO, allcargo logistics, Allcargo Logistics, allcargo logistics limited",NI
Alldigi Tech Limited,ALLDIGI,NS,"ALLDIGI, Alldigi Tech, alldigi tech, alldigi tech limited",NI
All Time Plastics Limited,ALLTIME,NS,"all time plastics, All Time Plastics, all time plastics limited, ALLTIME",NI
Almondz Global Sec Limited,ALMONDZ,NS,"Almondz, ALMONDZ, almondz global sec, almondz global sec limited, Almondz Global Securities",NI
Alok Industries Limited,ALOKINDS,NS,"Alok Industries, alok industries, alok industries limited, ALOKINDS",NIFTY 500
Alpa Laboratories Limited,ALPA,NS,"ALPA, alpa laboratories, Alpa Laboratories, alpa laboratories limited",NI
Alphageo (India) Limited,ALPHAGEO,NS,"ALPHAGEO, alphageo (india), alphageo (india) limited, Alphageo India",NI
Alps Industries Limited,ALPSINDUS,NS,"alps industries, Alps Industries, alps industries limited, ALPSINDUS",NI
Amanta Healthcare Limited,AMANTA,NS,"AMANTA, Amanta Healthcare, amanta healthcare, amanta healthcare limited",NI
Amber Enterprises (I) Limited,AMBER,NIFTY CONSUMER DURABLES,"AMBER, Amber Enterprises, amber enterprises (i), amber enterprises (i) limited, Amber Enterprises India",NIFTY 500
Ambica Agar & Aroma ind ltd,AMBICAAGAR,NS,"ambica agar & aroma ind, ambica agar & aroma ind ltd, Ambica Agarbathi, Ambica Agarbathies, Ambica Agarbathies Aroma & Industries, AMBICAAGAR",NI
Ambika Cotton Mill Ltd.,AMBIKCO,NS,"ambika cotton mill, ambika cotton mill ltd., Ambika Cotton Mills, AMBIKCO",NI
Ambuja Cements Limited,AMBUJACEM,NS,"ambuja cements, Ambuja Cements, ambuja cements limited, AMBUJACEM","NIFTY 100, NIFTY 200, NIFTY 500, NIFTY NEXT 50"
Amd Industries Limited,AMDIND,NS,"amd industries, Amd Industries, amd industries limited, AMDIND",NI
Amj Land Holdings Limited,AMJLAND,NS,"Amj Land, amj land holdings, Amj Land Holdings, amj land holdings limited, AMJLAND",NI
Amines & Plasticizers Limited,AMNPLST,NS,"Amines & Plasticizers, amines & plasticizers, amines & plasticizers limited, AMNPLST",NI
Amrutajan Health Limited,AMRUTANJAN,NS,"Amrutajan Health, amrutajan health, amrutajan health limited, AMRUTANJAN",NI
Anand Rathi Wealth Limited,ANANDRATHI,NS,"anand rathi wealth, Anand Rathi Wealth, anand rathi wealth limited, ANANDRATHI",NIFTY 500
Anant Raj Limited,ANANTRAJ,NIFTY REALTY,"Anant Raj, anant raj, anant raj limited, ANANTRAJ",NIFTY 500
Andhra Paper Limited,ANDHRAPAP,NS,"andhra paper, Andhra Paper, andhra paper limited, ANDHRAPAP",NI
Andhra Sugars Limited,ANDHRSUGAR,NS,"andhra sugars, Andhra Sugars, andhra sugars limited, ANDHRSUGAR",NI
Angel One Limited,ANGELONE,"NIFTY FINANCIAL SERVICES EX-BANK, NIFTY MIDSMALL FINANCIAL SERVICES","angel one, Angel One, angel one limited, ANGELONE",NIFTY 500
Anik Industries Limited,ANIKINDS,NS,"Anik Industries, anik industries, anik industries limited, ANIKINDS",NI
Anmol India Limited,ANMOL,NS,"ANMOL, Anmol India, anmol india, anmol india limited",NI
Antelopus Selan Enrgy Limited,ANTELOPUS,NS,"ANTELOPUS, Antelopus Selan Enrgy, antelopus selan enrgy, antelopus selan enrgy limited",NI
Antarctica Limited,ANTGRAPHIC,NS,"antarctica, Antarctica, antarctica limited, ANTGRAPHIC",NI
Anthem Biosciences Limited,ANTHEM,NS,"ANTHEM, Anthem Biosciences, anthem biosciences, anthem biosciences limited",NI
Anuh Pharma Limited,ANUHPHR,NS,"anuh pharma, Anuh Pharma, anuh pharma limited, ANUHPHR",NI
The Anup Engineering Limited,ANUP,NS,"ANUP, The Anup Engineering, the anup engineering, the anup engineering limited",NI
Anupam Rasayan India Limited,ANURAS,NS,"Anupam Rasayan India, anupam rasayan india, anupam rasayan india limited, ANURAS",NI
Apar Industries Ltd.,APARINDS,NS,"Apar Industries, apar industries, apar industries ltd., APARINDS",NIFTY 500
Anjani Portland Cem Limited,APCL,NS,"Anjani Portland Cem, anjani portland cem, anjani portland cem limited, Anjani Portland Cement, APCL",NI
Apcotex Industries Limited,APCOTEXIND,NS,"Apcotex Industries, apcotex industries, apcotex industries limite, apcotex industries limited, APCOTEXIND",NI
Apex Frozen Foods Limited,APEX,NS,"APEX, apex frozen foods, Apex Frozen Foods, apex frozen foods limited",NI
Apl Apollo Tubes Limited,APLAPOLLO,NIFTY METAL,"Apl Apollo, Apl Apollo Tubes, apl apollo tubes, apl apollo tubes limited, APLAPOLLO","NIFTY 200, NIFTY 500"
Alembic Pharma Limited,APLLTD,NIFTY500 HEALTHCARE,"alembic pharma, Alembic Pharma, alembic pharma limited, APLLTD",NIFTY 500
Apollo Micro Systems Limited,APOLLO,NS,"APOLLO, apollo micro systems, Apollo Micro Systems, apollo micro systems limited",NI
Apollo Hospitals Enter. L,APOLLOHOSP,"NIFTY HEALTHCARE INDEX, NIFTY500 HEALTHCARE","apollo hospitals enter. l, Apollo Hospitals Enterprise, apollo hospitals enterprise, apollo hospitals enterprise ltd, APOLLOHOSP","NIFTY 100, NIFTY 200, NIFTY 50, NIFTY 500"
Apollo Pipes Limited,APOLLOPIPE,NS,"apollo pipes, Apollo Pipes, apollo pipes limited, APOLLOPIPE",NI
Apollo Tyres Limited,APOLLOTYRE,NS,"apollo tyres, Apollo Tyres, apollo tyres limited, APOLLOTYRE",NIFTY 500
Apollo Sindoori Hotel Limited,APOLSINHOT,NS,"apollo sindoori hotel, Apollo Sindoori Hotel, apollo sindoori hotel limited, APOLSINHOT",NI
Aptech Limited,APTECHT,NS,"Aptech, aptech, aptech limited, APTECHT",NI
Aptus Value Hsg Fin I Limited,APTUS,NS,"APTUS, Aptus India, Aptus Value Housing Finance, Aptus Value Housing Finance India, aptus value hsg fin i, aptus value hsg fin i limited",NIFTY 500
Archidply Ind. Limited,ARCHIDPLY,NS,"Archidply, ARCHIDPLY, archidply ind., archidply ind. limited, Archidply India",NI
Archies Limited,ARCHIES,NS,"ARCHIES, Archies, archies, archies limited",NI
Amara Raja Energy Mob Limited,ARE&M,NS,"amara raja energy mob, amara raja energy mob limited, Amara Raja Energy Mobility, ARE&M",NIFTY 500
Rajdarshan Industries Limited,ARENTERP,NS,"ARENTERP, Rajdarshan Industries, rajdarshan industries, rajdarshan industries limited",NI
Aries Agro Ltd.,ARIES,NS,"ARIES, aries agro, Aries Agro, aries agro ltd.",NI
Arihant Capital Mkts Limited,ARIHANTCAP,NS,"Arihant Capital, Arihant Capital Markets, arihant capital mkts, arihant capital mkts limited, ARIHANTCAP",NI
Arihant Superstruct Limited,ARIHANTSUP,NS,"arihant superstruct, Arihant Superstruct, arihant superstruct limited, ARIHANTSUP",NI
Arisinfra Solutions Limited,ARISINFRA,NS,"ARISINFRA, Arisinfra Solutions, arisinfra solutions, arisinfra solutions limited",NI
Arkade Developers Limited,ARKADE,NS,"ARKADE, arkade developers, Arkade Developers, arkade developers limited",NI
Arman Fin Serv Limited,ARMANFIN,NS,"arman fin serv, arman fin serv limited, Arman Financial Services, ARMANFIN",NI
Aro Granite Ind. Ltd.,AROGRANITE,NS,"Aro Granite, aro granite ind., aro granite ind. ltd., Aro Granite Industries, AROGRANITE",NI
Arrow Greentech Limited,ARROWGREEN,NS,"Arrow Greentech, arrow greentech, arrow greentech limited, ARROWGREEN",NI
Anand Rathi Sh N Stk Br L,ARSSBL,NS,"anand rathi sh n stk br l, Anand Rathi Sh N Stk Br L, Anand Rathi Share and Stock Broker, ARSSBL",NI
Artemis Med Service Limited,ARTEMISMED,NS,"Artemis Med Service, artemis med service, artemis med service limited, ARTEMISMED",NI
Art Nirman Limited,ARTNIRMAN,NS,"Art Nirman, art nirman, art nirman limited, ARTNIRMAN",NI
Arvee Laboratories I Limited,ARVEE,NS,"ARVEE, Arvee Laboratories, arvee laboratories i, arvee laboratories i limited, Arvee Laboratories India",NI
Arvind Limited,ARVIND,NS,"ARVIND, arvind, Arvind, arvind limited",NI
Arvind Fashions Limited,ARVINDFASN,NS,"Arvind Fashions, arvind fashions, arvind fashions limited, ARVINDFASN",NI
Arvind Smartspaces Limited,ARVSMART,NS,"arvind smartspaces, Arvind Smartspaces, arvind smartspaces limited, ARVSMART",NI
Asahi India Glass Limited,ASAHIINDIA,NS,"AIS Glass, Asahi India Glass, asahi india glass, asahi india glass limited, ASAHIINDIA",NIFTY 500
Asahi Songwon Color Limited,ASAHISONG,NS,"Asahi Songwon, asahi songwon color, Asahi Songwon Color, asahi songwon color limited, ASAHISONG",NI
Automotive Stampings & As,ASAL,NS,"ASAL, automotive stampings & as, Automotive Stampings and Assemblies",NI
Asso Alcohols & Brew Limited,ASALCBR,NS,"ASALCBR, asso alcohols & brew, asso alcohols & brew limited, Asso Alcohols & Brew Limited",NI
Ashapura Minechem Limited,ASHAPURMIN,NS,"Ashapura Minechem, ashapura minechem, ashapura minechem limited, ASHAPURMIN",NI
Ashiana Housing Limited,ASHIANA,NS,"ASHIANA, Ashiana Housing, ashiana housing, ashiana housing limited",NI
Ashima Limited,ASHIMASYN,NS,"Ashima, ashima, ashima limited, ASHIMASYN",NI
Ashoka Buildcon Limited,ASHOKA,NS,"ASHOKA, Ashoka Buildcon, ashoka buildcon, ashoka buildcon limited",NI
Ashoka Metcast Limited,ASHOKAMET,NS,"Ashoka Metcast, ashoka metcast, ashoka metcast limited, ASHOKAMET",NI
Ashok Leyland Limited,ASHOKLEY,NIFTY AUTO,"ashok leyland, Ashok Leyland, ashok leyland limited, ASHOKLEY","NIFTY 200, NIFTY 500"
Asian Energy Services Limited,ASIANENE,NS,"Asian Energy, Asian Energy Services, asian energy services, asian energy services limited, ASIANENE",NI
Asian Hotels (North) Limited,ASIANHOTNR,NS,"asian hotels (north), asian hotels (north) limited, Asian Hotels North, ASIANHOTNR",NI
